Datetime,PM_64,AOD_64,Temp_64,Humi_64,PM_52,AOD_52,Temp_52,Humi_52,PM_74,AOD_74,Temp_74,Humi_74,PM_64_r1,AOD_64_r1,Temp_64_r1,Humi_64_r1
2013-04-26,6.375,0.070193887,63.5,65.25,11.66666667,0.078049435,67.708333,64.416667,8.391304348,0.208419306,70.125,38.913043,6.375,0.070193887,63.5,65.25
2013-04-27,6.458333333,0.087744995,56.75,51.125,9.75,0.063118179,71,45.208333,6.833333333,0.208419306,66.25,45.208333,6.458333333,0.087744995,56.75,51.125
2013-04-28,4.458333333,0.175906588,61.916667,52.875,6.333333333,0.070570612,67.666667,41.809524,6.25,0.208419306,69.291667,34.375,4.458333333,0.175906588,61.916667,52.875
2013-04-29,6.875,0.175906588,65.041667,55,11.54166667,0.12802745,67.791667,54.166667,7.958333333,0.208419306,72.5,32.166667,6.875,0.175906588,65.041667,55
2013-04-30,7.291666667,0.175906588,68.333333,62.75,13.66666667,0.100500024,66.583333,64.333333,7.75,0.208419306,76,29.375,7.291666667,0.175906588,68.333333,62.75
2013-05-01,7.708333333,0.175906588,67.125,75.958333,16.16666667,0.121478687,61.875,78.25,8.916666667,0.208419306,73.333333,34.75,7.708333333,0.175906588,67.125,75.958333
2013-05-02,9.608695652,0.608028355,62.291667,76.083333,10.375,0.121478687,62,78.083333,5.291666667,0.410455773,72.125,50.708333,9.608695652,0.608028355,62.291667,76.083333
2013-05-03,5.75,0.175906588,67.916667,70.166667,9.291666667,0.084558603,67.583333,70.708333,6.625,0.208419306,77.041667,49.217391,5.75,0.175906588,67.916667,70.166667
2013-05-04,9.75,0.175906588,71.083333,60.875,8.826086957,0.058632087,74.625,60.041667,12.45833333,0.208419306,79.791667,46.5,9.75,0.175906588,71.083333,60.875
2013-05-05,14.41666667,0.076845763,74.25,56.625,9.375,0.088682421,78.75,55.25,12.875,0.14324487,83.125,44.5,14.41666667,0.076845763,74.25,56.625
2013-05-06,13.20833333,0.192755263,77.458333,56.208333,8.75,0.11772392,79.708333,53.958333,16.91666667,0.208419306,86.833333,38.25,13.20833333,0.192755263,77.458333,56.208333
2013-05-07,10.41666667,0.313289362,79.625,48.25,10,0.230263511,82.375,49.916667,12.79166667,0.157600959,89.333333,34.208333,10.41666667,0.313289362,79.625,48.25
2013-05-08,7.75,0.514425051,80,48.166667,7.25,0.421223264,81.583333,47.25,20.79166667,0.186438764,89.666667,31.416667,7.75,0.514425051,80,48.166667
2013-05-09,10.83333333,0.548408329,79.708333,58.125,11.66666667,0.618431139,76.666667,57.916667,15.04166667,0.369005445,87.666667,28.5,10.83333333,0.548408329,79.708333,58.125
2013-05-10,11.16666667,0.261134364,82.291667,63.5,11.375,0.121478687,76,58.833333,14.375,0.208419306,91.541667,27.818182,11.16666667,0.261134364,82.291667,63.5
2013-05-11,9.916666667,0.362366545,81.791667,70.375,8.083333333,0.405567336,72.375,66.416667,10.34782609,0.373192148,87.130435,30.333333,9.916666667,0.362366545,81.791667,70.375
2013-05-12,13.19047619,0.239470706,81.875,72.166667,10.29166667,0.290589918,71.708333,66.5,17.375,0.315891939,91.208333,33.375,13.19047619,0.239470706,81.875,72.166667
2013-05-13,11.83333333,0.750000043,77.958333,75.125,12.13043478,0.473843654,69.416667,73.625,18.375,0.371390093,88.583333,34,11.83333333,0.750000043,77.958333,75.125
2013-05-14,10.45833333,0.175906588,75.625,76.041667,11.58333333,0.106377338,69.583333,74.708333,10.45833333,0.208419306,82.458333,31.375,10.45833333,0.175906588,75.625,76.041667
2013-05-15,5.958333333,0.175906588,75.666667,73.458333,8.75,0.058427704,70.5,67.625,9.375,0.208419306,84.166667,19.833333,5.958333333,0.175906588,75.666667,73.458333
2013-05-16,11.375,0.175906588,76.416667,59.333333,9.791666667,0.038875603,75.666667,52.875,6.916666667,0.208419306,85.208333,14.75,11.375,0.175906588,76.416667,59.333333
2013-05-17,5.666666667,0.130426382,76.375,46.5,10.20833333,0.126910338,77.666667,46.75,10.875,0.208419306,84.458333,13.478261,5.666666667,0.130426382,76.375,46.5
2013-05-18,8.125,0.531338111,78,66.583333,12.54166667,0.121478687,72.333333,59,13.08333333,0.208419306,86.041667,18.208333,8.125,0.531338111,78,66.583333
2013-05-19,10.08333333,0.175906588,72.583333,72,15.45833333,0.121478687,72.458333,66.791667,12.04166667,0.208419306,83.25,29.541667,10.08333333,0.175906588,72.583333,72
2013-05-20,8.875,0.188635826,70.375,70.791667,14.125,0.102422479,72.125,65.958333,7.708333333,0.208419306,79.958333,29.333333,8.875,0.188635826,70.375,70.791667
2013-05-21,6.583333333,0.296271483,74.666667,70.958333,13.375,0.117423749,71.25,64.416667,9.5,0.208419306,82.208333,22.125,6.583333333,0.296271483,74.666667,70.958333
2013-05-22,7.416666667,0.135636733,75.833333,63.125,12.125,0.152466393,74.125,57.833333,8.083333333,0.208419306,83.333333,19.666667,7.416666667,0.135636733,75.833333,63.125
2013-05-23,5.347826087,0.175906588,74.043478,62.75,13.20833333,0.060859951,72,58.333333,4.791666667,0.208419306,81.041667,20.708333,5.347826087,0.175906588,74.043478,62.75
2013-05-24,5.916666667,0.175906588,68.583333,52.708333,9.5,0.121478687,70.375,54.5,6.041666667,0.208419306,77.625,26.909091,5.916666667,0.175906588,68.583333,52.708333
2013-05-25,8.208333333,0.175906588,69.25,46.625,9.708333333,0.121478687,72.458333,50.541667,11.625,0.208419306,76,33.5,8.208333333,0.175906588,69.25,46.625
2013-05-26,10.625,0.194440197,71.291667,56.041667,10.25,0.227581612,72.083333,53.458333,11.95833333,0.214874801,79.708333,32.291667,10.625,0.194440197,71.291667,56.041667
2013-05-27,39.5,0.643611924,74.416667,63.666667,15.16666667,0.272205704,70.791667,60,10.45833333,0.128604999,82.791667,28.583333,39.5,0.643611924,74.416667,63.666667
2013-05-28,15.83333333,0.482018222,79.25,69.875,15.25,0.383569287,69.958333,66.083333,11.875,0.292405639,85.958333,27.25,15.83333333,0.482018222,79.25,69.875
2013-05-29,12.45833333,0.175906588,76.25,77.291667,16.41666667,0.844371265,69.791667,72.5,10.54166667,0.519061825,86.875,33.333333,12.45833333,0.175906588,76.25,77.291667
2013-05-30,11.79166667,0.175906588,74.833333,73.916667,14.08333333,0.227133268,72.25,68.958333,11.86956522,0.208419306,82.541667,54.166667,11.79166667,0.175906588,74.833333,73.916667
2013-05-31,13.73913043,0.443500753,74.583333,71.083333,12.875,0.100258576,71.666667,65.625,17.56521739,0.334671986,83.208333,46.826087,13.73913043,0.443500753,74.583333,71.083333
2013-06-01,10.91666667,0.197074969,74.625,73.416667,8.173913043,0.16598409,70.125,65.541667,11.16666667,0.208419306,83.041667,37.166667,10.91666667,0.197074969,74.625,73.416667
2013-06-02,10.41666667,0.197313727,77.75,73.541667,9.083333333,0.159485503,69.416667,67.875,11.375,0.208419306,86.125,32.75,10.41666667,0.197313727,77.75,73.541667
2013-06-03,10.79166667,0.175906588,76.541667,74.791667,10.16666667,0.322867011,70.5,66.541667,14.08333333,0.208419306,83.291667,35.416667,10.79166667,0.175906588,76.541667,74.791667
2013-06-04,9,0.260184837,76.583333,71,11.83333333,0.191426808,70.875,65.041667,14.08333333,0.394438602,85.625,36.75,9,0.260184837,76.583333,71
2013-06-05,8.833333333,0.095126725,75.041667,79.291667,10,0.110576759,65.291667,76.666667,9.791666667,0.208419306,83.875,29.041667,8.833333333,0.095126725,75.041667,79.291667
2013-06-06,7.083333333,0.175906588,73.041667,72.583333,8.75,0.050404729,66.208333,72.916667,7.75,0.208419306,82.166667,30.375,7.083333333,0.175906588,73.041667,72.583333
2013-06-07,5.708333333,0.175906588,72.166667,74.5,8.416666667,0.054832801,64.625,73.625,18.45833333,0.147887458,79.791667,34.391304,5.708333333,0.175906588,72.166667,74.5
2013-06-08,14.16666667,0.090291376,71.625,79.291667,12.75,0.09219439,62.375,76.875,26.83333333,0.272929772,79.25,32.875,14.16666667,0.090291376,71.625,79.291667
2013-06-09,10.91666667,0.175906588,69.75,77.041667,15.58333333,0.037393188,63,77.416667,12.375,0.208419306,75.958333,30.083333,10.91666667,0.175906588,69.75,77.041667
2013-06-10,5.583333333,0.092806348,68,72,13.58333333,0.138813696,65.666667,70.625,6.791666667,0.101623412,75.208333,25.666667,5.583333333,0.092806348,68,72
2013-06-11,4.208333333,0.267321788,68.375,77.291667,12.25,0.130187373,65.583333,72.291667,6.791666667,0.208419306,78.583333,25.791667,4.208333333,0.267321788,68.375,77.291667
2013-06-12,6.666666667,0.087403011,70.083333,74.875,10.79166667,0.067722912,65.958333,66.75,7.333333333,0.208419306,78.5,24.708333,6.666666667,0.087403011,70.083333,74.875
2013-06-13,7.75,0.112267443,68.958333,65.375,10,0.064037666,67.625,57.666667,10.875,0.208419306,77.75,29.75,7.75,0.112267443,68.958333,65.375
2013-06-14,11.47826087,0.144480198,69.913043,74.875,8.304347826,0.186683447,64.166667,70.791667,13.17391304,0.208419306,77.125,32.227273,11.47826087,0.144480198,69.913043,74.875
2013-06-15,9.583333333,0.175906588,66.25,72.458333,8.416666667,0.121478687,64.625,69.625,11.45833333,0.208419306,73.125,38.208333,9.583333333,0.175906588,66.25,72.458333
2013-06-16,13.125,0.085338502,64.875,68.708333,10,0.121478687,66.5,66.625,10.04166667,0.208419306,72.666667,40.086957,13.125,0.085338502,64.875,68.708333
2013-06-17,7.708333333,0.094961818,64.625,72.041667,9.434782609,0.093803907,65.25,69.833333,10.16666667,0.208419306,74.375,37.708333,7.708333333,0.094961818,64.625,72.041667
2013-06-18,13.29166667,0.209466143,67.291667,71.916667,10.70833333,0.129526693,64.625,70.541667,15,0.194199891,74.75,34.958333,13.29166667,0.209466143,67.291667,71.916667
2013-06-19,12.16666667,0.123217656,67.75,72.5,10.54166667,0.121694461,66.708333,69.166667,15.41666667,0.143519793,76.291667,33.5,12.16666667,0.123217656,67.75,72.5
