Datetime,PM_11,AOD_11,Temp_11,Humi_11,PM_10,AOD_10,Temp_10,Humi_10,PM_8,AOD_8,Temp_8,Humi_8,PM_7,AOD_7,Temp_7,Humi_7
2013-04-26,2.772727273,0.16404652,58.166667,55.625,3.833333333,0.221571013,62,47.73913,6.666666667,0.215629427,62,47.73913,8.291666667,0.321458148,62,47.73913
2013-04-27,5.041666667,0.201297106,59.25,51.416667,4.541666667,0.250524208,61.958333,45.791667,8.695652174,0.2289243,61.958333,45.791667,10.5,0.431701483,61.958333,45.791667
2013-04-28,5.875,0.262503234,61.625,48.875,4.375,0.349822845,63.75,46.458333,8.458333333,0.272516118,63.75,46.458333,11.26086957,0.271791561,63.75,46.458333
2013-04-29,6.666666667,0.437422985,66.041667,44.25,6.083333333,0.250524208,64.083333,48.583333,11.58333333,0.308227861,64.083333,48.583333,12.75,0.419130892,64.083333,48.583333
2013-04-30,10.83333333,0.151126038,68.333333,40.875,10.45833333,0.210951524,66.708333,50.041667,16.66666667,0.312232662,66.708333,50.041667,17.79166667,0.118771859,66.708333,50.041667
2013-05-01,3.956521739,0.201297106,62.125,66.958333,4.041666667,0.250524208,64.708333,56.5,7.708333333,0.322331376,64.708333,56.5,7.714285714,0.334250729,64.708333,56.5
2013-05-02,2,0.201297106,56.708333,82.625,4.333333333,0.250524208,64.25,58.666667,6.333333333,0.322331376,64.25,58.666667,6.916666667,0.334250729,64.25,58.666667
2013-05-03,1.4375,0.201297106,58.791667,92.375,4.916666667,0.250524208,68.909091,59.318182,6.375,0.322331376,68.909091,59.318182,7.75,0.334250729,68.909091,59.318182
2013-05-04,3.3125,0.462691432,64.958333,80.708333,3.708333333,0.402047136,71.863636,61,4.391304348,0.382234465,71.863636,61,7.166666667,0.395287178,71.863636,61
2013-05-05,3.421052632,0.103218795,70.333333,66.708333,4.166666667,0.250524208,73.166667,57.833333,6.916666667,0.250978783,73.166667,57.833333,9.826086957,0.15579473,73.166667,57.833333
2013-05-06,5.25,0.093222571,76.708333,52.916667,7.5,0.096113516,77.125,58.541667,9.875,0.183244829,77.125,58.541667,12.875,0.170721289,77.125,58.541667
2013-05-07,8.541666667,0.10949489,77.958333,47.833333,8.791666667,0.250524208,79.041667,56.458333,12.29166667,0.261239778,79.041667,56.458333,15.16666667,0.176154641,79.041667,56.458333
2013-05-08,9.791666667,0.222628033,78.333333,47.5,10.54166667,0.250524208,73.791667,58.041667,13.41666667,0.360129415,73.791667,58.041667,15.625,0.643753337,73.791667,58.041667
2013-05-09,7.708333333,0.356830994,79.5,48.666667,7.869565217,0.531748582,57.458333,89.166667,11.125,0.506629429,57.458333,89.166667,14.45833333,0.631802142,75.208333,58.291667
2013-05-10,6.791666667,0.462936899,83.708333,48.625,10.04166667,0.385434591,60.916667,86.666667,11.33333333,0.517245682,60.916667,86.666667,14.16666667,0.549773851,74.5,60.458333
2013-05-11,6.086956522,0.366278237,84.541667,47.708333,7.208333333,0.258069233,60.875,88.25,7.782608696,0.434313946,60.875,88.25,11.04166667,0.448104144,73.583333,59
