Datetime,PM_44,AOD_44,Temp_44,Humi_44,PM_39,AOD_39,Temp_39,Humi_39,PM_53,AOD_53,Temp_53,Humi_53,PM_30,AOD_30,Temp_30,Humi_30,PM_44_r1,AOD_44_r1,Temp_44_r1,Humi_44_r1,PM_44_r2,AOD_44_r2,Temp_44_r2,Humi_44_r2
2013-04-26,5,0.153437281,67.5,45,2.65,0.094466339,68.75,52.333333,9.458333333,0.244966394,68.333333,45,2.833333333,0.095908304,66.25,55.666667,5,0.153437281,67.5,45,5,0.153437281,67.5,45
2013-04-27,5.833333333,0.153437281,67.5,41.25,3.666666667,0.191383099,67.166667,49.708333,9.666666667,0.244966394,66.791667,41.25,2.875,0.172160685,67,46.791667,5.833333333,0.153437281,67.5,41.25,5.833333333,0.153437281,67.5,41.25
2013-04-28,5.695652174,0.153437281,71.666667,37.666667,3.166666667,0.191383099,71.75,46.875,9.583333333,0.244966394,71.083333,37.666667,3.208333333,0.227581607,67.888889,46.708333,5.695652174,0.153437281,71.666667,37.666667,5.695652174,0.153437281,71.666667,37.666667
2013-04-29,7.25,0.167911698,74.458333,34.166667,4.090909091,0.191383099,74.541667,44.416667,10.04166667,0.244966394,73.5,34.166667,4.25,0.296271492,73.333333,42.75,7.25,0.167911698,74.458333,34.166667,7.25,0.167911698,74.458333,34.166667
2013-04-30,7.541666667,0.153437281,77.958333,30.125,4.916666667,0.191383099,78.083333,42.791667,10.95833333,0.244966394,77.291667,30.125,5.5,0.109494891,77.041667,41.291667,7.541666667,0.153437281,77.958333,30.125,7.541666667,0.153437281,77.958333,30.125
2013-05-01,4.181818182,0.153437281,70.541667,46.291667,3.083333333,0.191383099,73.041667,55.833333,8.416666667,0.244966394,71.833333,46.291667,2.333333333,0.208335426,69.875,68.666667,4.181818182,0.153437281,70.541667,46.291667,4.181818182,0.153437281,70.541667,46.291667
2013-05-02,3.545454545,0.153437281,69.7,62.166667,4.6,0.191383099,71.291667,71.333333,9.083333333,0.244966394,71.208333,62.166667,3.75,0.208335426,68.041667,82.75,3.545454545,0.153437281,69.7,62.166667,3.545454545,0.153437281,69.7,62.166667
2013-05-03,8.125,0.153437281,76.291667,53.333333,6.4,0.272102192,76.833333,61.875,13.33333333,0.244966394,77.041667,53.333333,9.541666667,0.631041453,74.583333,83.166667,8.125,0.153437281,76.291667,53.333333,8.125,0.153437281,76.291667,53.333333
2013-05-04,5.304347826,0.153437281,78.791667,53.125,4.684210526,0.182009819,79.541667,63.541667,10.25,0.244966394,79.583333,53.125,3.708333333,0.327903926,77,65.916667,5.304347826,0.153437281,78.791667,53.125,5.304347826,0.153437281,78.791667,53.125
2013-05-05,5.782608696,0.153437281,82.75,43.375,4.291666667,0.151126038,83.041667,56.916667,10.95833333,0.244966394,82.958333,43.375,3.541666667,0.072441067,81.25,53.958333,5.782608696,0.153437281,82.75,43.375,5.782608696,0.153437281,82.75,43.375
