Datetime,PM_16,AOD_16,Temp_16,Humi_16,PM_23,AOD_23,Temp_23,Humi_23,PM_11,AOD_11,Temp_11,Humi_11,PM_10,AOD_10,Temp_10,Humi_10,PM_8,AOD_8,Temp_8,Humi_8,PM_2,AOD_2,Temp_2,Humi_2
2013-04-26,7.047619048,0.199020687,51.875,67.541667,5.136363636,0.121337012,51.875,67.541667,2.772727273,0.16404652,58.166667,55.625,3.833333333,0.221571013,62,47.73913,6.666666667,0.215629427,62,47.73913,3.578947368,0.15610377,58.166667,55.625
2013-04-27,8.608695652,0.199020687,52.541667,65.458333,6.857142857,0.126287837,52.541667,65.458333,5.041666667,0.201297106,59.25,51.416667,4.541666667,0.250524208,61.958333,45.791667,8.695652174,0.2289243,61.958333,45.791667,3.904761905,0.244992631,59.25,51.416667
2013-04-28,9.739130435,0.199020687,58.625,47.958333,4.35,0.159551068,58.625,47.958333,5.875,0.262503234,61.625,48.875,4.375,0.349822845,63.75,46.458333,8.458333333,0.272516118,63.75,46.458333,4.333333333,0.293674519,61.625,48.875
2013-04-29,8.454545455,0.199020687,64.875,36.25,3.727272727,0.100821557,64.875,36.25,6.666666667,0.437422985,66.041667,44.25,6.083333333,0.250524208,64.083333,48.583333,11.58333333,0.308227861,64.083333,48.583333,5.260869565,0.339755418,66.041667,44.25
2013-04-30,7,0.070570612,68.375,35.875,2.428571429,0.059243354,68.375,35.875,10.83333333,0.151126038,68.333333,40.875,10.45833333,0.210951524,66.708333,50.041667,16.66666667,0.312232662,66.708333,50.041667,6.541666667,0.175275244,68.333333,40.875
2013-05-01,7,0.199020687,57.791667,75.291667,6.9,0.419130892,57.791667,75.291667,3.956521739,0.201297106,62.125,66.958333,4.041666667,0.250524208,64.708333,56.5,7.708333333,0.322331376,64.708333,56.5,2.555555556,0.252957922,62.125,66.958333
2013-05-02,6,0.199020687,51.583333,89.875,3.727272727,0.183468992,51.583333,89.875,2,0.201297106,56.708333,82.625,4.333333333,0.250524208,64.25,58.666667,6.333333333,0.322331376,64.25,58.666667,2.095238095,0.252957922,56.708333,82.625
2013-05-03,10.2173913,0.337500312,57,94.25,4.833333333,0.406174398,57,94.25,1.4375,0.201297106,58.791667,92.375,4.916666667,0.250524208,68.909091,59.318182,6.375,0.322331376,68.909091,59.318182,1.333333333,0.252957922,58.791667,92.375
2013-05-04,12.20833333,0.199020687,63.083333,82.875,5.368421053,0.210197806,63.083333,82.875,3.3125,0.462691432,64.958333,80.708333,3.708333333,0.402047136,71.863636,61,4.391304348,0.382234465,71.863636,61,1.916666667,0.418874363,64.958333,80.708333
2013-05-05,9.47826087,0.199020687,73.458333,49.208333,6.166666667,0.104803334,73.458333,49.208333,3.421052632,0.103218795,70.333333,66.708333,4.166666667,0.250524208,73.166667,57.833333,6.916666667,0.250978783,73.166667,57.833333,2.2,0.203830258,70.333333,66.708333
2013-05-06,9.347826087,0.074290384,79.541667,39.416667,8.416666667,0.080787283,79.541667,39.416667,5.25,0.093222571,76.708333,52.916667,7.5,0.096113516,77.125,58.541667,9.875,0.183244829,77.125,58.541667,4.761904762,0.116219653,76.708333,52.916667
