Datetime,PM_114,AOD_114,Temp_114,Humi_114,,,,,
4/26/2013,11.325,0.082199497,74.7375,38.541667,,,,,
4/27/2013,13.5,0.202060005,71.420833,46.875,,,,,
4/28/2013,11.22857143,0.202060005,73.391667,37.75,,,,,
4/29/2013,10.35217391,0.202060005,73.083333,35.75,,,,,
4/30/2013,12.20833333,0.202060005,72.954167,40.375,,,,,
5/1/2013,15.79166667,0.202060005,69.070833,51.875,,,,,
5/2/2013,9.125,0.202060005,63.925,69.5,,,,,
5/3/2013,14.65833333,0.202060005,71.441667,59.041667,,,,,
5/4/2013,12.04545455,0.202060005,81.366667,44.083333,,,,,
5/5/2013,12.87916667,0.202060005,85.220833,36.916667,,,,,
5/6/2013,7.717391304,0.14020508,87.533333,31.708333,,,,,
5/7/2013,11.41666667,0.695110094,91.016667,26.916667,,,,,
5/8/2013,17.42083333,0.435743653,89.441667,28.958333,,,,,
5/9/2013,11.80434783,0.216538335,88.559091,29,,,,,
5/10/2013,12.75,0.202060005,84.55,35.375,,,,,
5/11/2013,10.83333333,0.237458743,84.833333,29.125,,,,,
5/12/2013,11.45833333,0.48275466,84.981818,27.818182,,,,,
5/13/2013,14.25,0.514906474,82.077273,34.954545,,,,,
5/14/2013,14.29166667,0.243907172,81.895455,42.363636,,,,,
5/15/2013,10.75,0.202060005,84.713636,33.727273,,,,,
5/16/2013,11.5,0.202060005,89.536364,22.454545,,,,,
5/17/2013,13.75,0.13615287,86.295833,31.916667,,,,,
5/18/2013,10.95833333,0.202060005,79.704167,45.958333,,,,,
5/19/2013,10.04166667,0.202060005,74.5625,57.25,,,,,
5/20/2013,18.90833333,0.228700762,78.608333,53.333333,,,,,
5/21/2013,12.375,0.202060005,81.320833,39.666667,,,,,
5/22/2013,15.65833333,0.127593532,83.325,36.25,,,,,
5/23/2013,12.5125,0.119294291,81.8125,31.083333,,,,,
5/24/2013,8.714285714,0.162749156,79.279167,26.875,,,,,
5/25/2013,5.772727273,0.202060005,80.620833,19.75,,,,,
5/26/2013,5.8,0.989824724,82.6125,20.791667,,,,,
5/27/2013,17.95652174,0.202060005,81.229167,40.916667,,,,,
5/28/2013,16.2125,0.202060005,78.1375,65.625,,,,,
5/29/2013,20.125,0.202060005,75.091667,68.25,,,,,
5/30/2013,25.625,0.202060005,76.970833,61.458333,,,,,
5/31/2013,17.79166667,0.23932464,77.745833,53.541667,,,,,
6/1/2013,14.25,0.32554916,79.758333,48.166667,,,,,
6/2/2013,13.29166667,0.202060005,82.3625,41,,,,,
6/3/2013,17.90833333,0.202060005,80.975,45.958333,,,,,
6/4/2013,25.125,0.202060005,80.670833,46.333333,,,,,
6/5/2013,11.86956522,0.202060005,76.883333,37.75,,,,,
6/6/2013,4.1,0.202060005,77.120833,33.583333,,,,,
6/7/2013,11.47826087,0.202060005,75.958333,45.458333,,,,,
6/8/2013,17,0.202060005,74.604167,48.041667,,,,,
6/9/2013,18.6375,0.202060005,70.733333,49.666667,,,,,
6/10/2013,19.60416667,0.202060005,73.625,45.333333,,,,,
6/11/2013,14.375,0.174015555,74.916667,43.791667,,,,,
6/12/2013,12.95833333,0.202060005,78.366667,34.5,,,,,
6/13/2013,12,0.120781426,79.404167,28,,,,,
6/14/2013,11.66521739,0.202060005,76.695833,31.333333,,,,,
6/15/2013,8.327272727,0.202060005,75.4,30.666667,,,,,
6/16/2013,5.083333333,0.249313393,76.05,26.958333,,,,,
6/17/2013,7.608695652,0.089784664,73.345833,30.416667,,,,,
6/18/2013,9.652173913,0.11652119,72.016667,43.583333,,,,,
6/19/2013,11.875,0.088427193,75.133333,39.5,,,,,
6/20/2013,12.16666667,0.202060005,77.495833,38.875,,,,,
6/21/2013,15.375,0.17173788,81.108333,35.875,,,,,
6/22/2013,12,0.202060005,84.666667,25.833333,,,,,
6/23/2013,9.043478261,0.125414045,85.791667,23,,,,,
6/24/2013,9.458333333,0.10448728,85,26.5,,,,,
6/25/2013,12.56521739,0.202060005,86.179167,26.75,,,,,
6/26/2013,13.75416667,0.205357036,86.225,29.75,,,,,
6/27/2013,9.854166667,0.202060005,85.7875,32.958333,,,,,
6/28/2013,12.6625,0.202060005,83.708333,29.833333,,,,,
6/29/2013,9.95,0.095456156,86.686957,22.782609,,,,,
6/30/2013,10.66315789,0.252246927,87.352174,20.086957,,,,,
7/1/2013,16.78333333,0.136574523,83.620833,27.083333,,,,,
7/2/2013,13.07083333,0.246400552,78.683333,47,,,,,
7/3/2013,18.33333333,0.302819071,75.045833,65.958333,,,,,
7/4/2013,11.04347826,0.202060005,73.658333,73.083333,,,,,
7/5/2013,9,0.087915764,81.204167,49.5,,,,,
7/6/2013,11.91666667,0.316311712,84.8,38.208333,,,,,
7/7/2013,16.875,0.26857248,80.345833,66.625,,,,,
7/8/2013,14.20416667,0.373911877,77.579167,78.541667,,,,,
7/9/2013,13.075,0.202060005,80.108333,65.708333,,,,,
,12.90816211,0.223792023,79.76181464,40.39694771,,12.90816211,0.223792023,79.76181464,40.39694771
,3.956857022,0.129906387,5.432448627,13.71712698,,3.956857022,0.129906387,5.432448627,13.71712698
,4.1,0.082199497,63.925,19.75,,4.1,0.082199497,63.925,19.75
,25.625,0.989824724,91.016667,78.541667,,25.625,0.989824724,91.016667,78.541667
