Datetime,PM_33,AOD_33,Temp_33,Humi_33
2013-04-26,3.375,0.160925125,69.125,51.25
2013-04-27,4.666666667,0.098203854,70,41.875
2013-04-28,3.333333333,0.193478179,74,40.375
2013-04-29,4.041666667,0.157750852,77,37.833333
2013-04-30,3.833333333,0.157750852,79.875,36.458333
2013-05-01,5.458333333,0.28358952,69.041667,62.458333
2013-05-02,3.375,0.157750852,66.666667,77.833333
2013-05-03,3.5,0.157750852,71.458333,80.333333
2013-05-04,3.541666667,0.154865995,78.875,57.541667
2013-05-05,4.916666667,0.157750852,83.708333,46.041667
2013-05-06,7.291666667,0.063447243,91.125,37.5
2013-05-07,8.375,0.048865735,93.041667,32.041667
2013-05-08,6.541666667,0.181514779,91.875,33.5
2013-05-09,9,0.235862098,83.875,53.166667
2013-05-10,11,0.421521788,86.25,48.291667
2013-05-11,11.08333333,0.261492682,85.791667,46.458333
2013-05-12,8.5,0.138987954,90.416667,38.958333
2013-05-13,15.75,0.081494744,77.5,44.791667
2013-05-14,14.83333333,0.191910353,74.125,53.916667
2013-05-15,11.83333333,0.151930876,75.833333,43.458333
2013-05-16,7.583333333,0.081788717,75.333333,41.458333
2013-05-17,8.375,0.078468782,77.791667,46.083333
2013-05-18,9.166666667,0.068868238,79.625,43.125
2013-05-19,6,0.157750852,73.166667,43.75
2013-05-20,10.125,0.157750852,72,51.666667
2013-05-21,9.333333333,0.157750852,74.875,45.083333
2013-05-22,8,0.089897374,76.375,45.958333
2013-05-23,8.869565217,0.101730116,73,48.208333
2013-05-24,6.458333333,0.157750852,67.708333,55.333333
2013-05-25,4.125,0.157750852,71,56.541667
2013-05-26,8.416666667,0.078289181,74.958333,52.333333
2013-05-27,6.608695652,0.159398071,77.833333,47.833333
2013-05-28,12.83333333,0.284170038,80.25,50.625
2013-05-29,14.08333333,0.195919205,79.833333,44
2013-05-30,10.95833333,0.395404163,76.708333,41.166667
2013-05-31,6.916666667,0.560644618,77.583333,41.833333
2013-06-01,6.75,0.134262381,79.666667,45.791667
2013-06-02,9.454545455,0.291698595,81.73913,47
2013-06-03,9,0.122997064,79.416667,46.125
2013-06-04,11.29166667,0.157750852,77.708333,47.041667
2013-06-05,8.708333333,0.157750852,75.041667,51.791667
2013-06-06,31.54166667,0.569483471,68.125,55.916667
2013-06-07,31.45833333,0.494569109,70.291667,58.25
2013-06-08,26.375,0.138488149,72.125,52.166667
2013-06-09,10.58333333,0.157750852,72.333333,50
2013-06-10,10.16666667,0.157750852,76.944444,43.388889
2013-06-11,11.91666667,0.157750852,75.75,45.625
2013-06-12,12.91666667,0.083775507,72.708333,50.416667
2013-06-13,10.875,0.08367085,72.454545,77
2013-06-14,15.47826087,0.129756662,69.521739,67.625
2013-06-15,8.416666667,0.157750852,68.666667,55.4
2013-06-16,6.541666667,0.144822515,71.347826,55.086957
2013-06-17,7.5,0.149105571,69.708333,57.875
2013-06-18,9.458333333,0.219627311,72.166667,56.25
2013-06-19,7.260869565,0.132711118,75.666667,51.833333
2013-06-20,9.666666667,0.157750852,76.208333,46.083333
2013-06-21,7.833333333,0.157750852,80.208333,38.625
2013-06-22,9.833333333,0.097748288,80.375,40.125
2013-06-23,10.95833333,0.091804026,80.416667,50.625
2013-06-24,7.25,0.052353432,82.25,47.541667
2013-06-25,7.666666667,0.136855303,80.625,43.708333
2013-06-26,12.04166667,0.809883734,85.833333,41.708333
2013-06-27,24.95652174,0.157750852,87.583333,42.041667
2013-06-28,20.08333333,0.839826144,80.583333,46.458333
2013-06-29,13.04166667,0.360342732,75.833333,46.25
2013-06-30,5.291666667,0.170848513,72.416667,50.083333
2013-07-01,5.666666667,0.157750852,74.166667,50.708333
2013-07-02,8.041666667,0.157750852,74.75,50.083333
2013-07-03,3.173913043,0.105748981,75.375,57.333333
2013-07-04,2.875,0.157750852,74.833333,51.541667
2013-07-05,4.739130435,0.040574089,77.75,44.791667
2013-07-06,4.041666667,0.157750852,77.791667,51.25
2013-07-07,5.458333333,0.157750852,78.375,53.666667
2013-07-08,3.782608696,0.157750852,82.458333,45.833333
2013-07-09,8.208333333,0.157750852,80.291667,40.833333
