Datetime,PM_2,AOD_2,Temp_2,Humi_2,PM_3,AOD_3,Temp_3,Humi_3,PM_8,AOD_8,Temp_8,Humi_8,PM_11,AOD_11,Temp_11,Humi_11
2013-04-26,1.275068726,-2.67942272,58.166667,55.625,1.53393036,-1.344807924,62,47.73913,1.897119985,-2.213374018,62,47.73913,1.019831411,-2.607823101,58.166667,55.625
2013-04-27,1.36219681,-2.029189737,59.25,51.416667,1.745239454,-1.072533391,61.958333,45.791667,2.162823151,-2.127057487,61.958333,45.791667,1.617736715,-2.312601661,59.25,51.416667
2013-04-28,1.466337069,-1.767710003,61.625,48.875,1.756420103,-0.669753362,63.75,46.458333,2.135152149,-1.875586536,63.75,46.458333,1.77070606,-1.929592897,61.625,48.875
2013-04-29,1.66029633,-1.557431539,66.041667,44.25,2.085107279,-1.072533391,64.083333,48.583333,2.449567283,-1.697930822,64.083333,48.583333,1.897119985,-1.192899065,66.041667,44.25
2013-04-30,1.878191975,-2.512305852,68.333333,40.875,2.435074276,-1.597258032,66.708333,50.041667,2.813410717,-1.679306633,66.708333,50.041667,2.382627801,-2.726175849,68.333333,40.875
2013-05-01,0.938269639,-1.983030676,62.125,66.958333,1.492904096,-1.072533391,64.708333,56.5,2.042301995,-1.633383467,64.708333,56.5,1.375365291,-2.312601661,62.125,66.958333
2013-05-02,0.739667196,-1.983030676,56.708333,82.625,1.049822124,-1.072533391,64.25,58.666667,1.84582669,-1.633383467,64.25,58.666667,0.693147181,-2.312601661,56.708333,82.625
2013-05-03,0.287682072,-1.983030676,58.791667,92.375,1.371479275,-1.072533391,68.909091,59.318182,1.852384091,-1.633383467,68.909091,59.318182,0.362905494,-2.312601661,58.791667,92.375
2013-05-04,0.650587566,-1.255410506,64.958333,80.708333,1.098612289,-1.072533391,71.863636,61,1.479626301,-1.387470229,71.863636,61,1.197703191,-1.111877712,64.958333,80.708333
2013-05-05,0.78845736,-2.294559862,70.333333,66.708333,0.087011377,-0.659312853,73.166667,57.833333,1.933933958,-1.994362689,73.166667,57.833333,1.229948291,-3.276222406,70.333333,66.708333
2013-05-06,1.560647748,-3.105074038,76.708333,52.916667,1.386294361,-0.631466558,77.125,58.541667,2.290006311,-2.448155607,77.125,58.541667,1.658228077,-3.423176884,76.708333,52.916667
2013-05-07,1.727220948,-2.339112568,77.958333,47.833333,1.871802177,-1.072533391,79.041667,56.458333,2.508921526,-1.936553509,79.041667,56.458333,2.144956149,-3.191064556,77.958333,47.833333
2013-05-08,2.079441542,-2.618126606,78.333333,47.5,1.970451258,-1.228385781,73.791667,58.041667,2.596497715,-1.473412653,73.791667,58.041667,2.281531684,-2.16729283,78.333333,47.5
2013-05-09,1.890850372,-1.546337915,57.458333,89.166667,1.566420527,-1.072533391,57.458333,89.166667,2.409194828,-0.980997213,57.458333,89.166667,2.042301995,-1.486687162,79.5,48.666667
2013-05-10,2.036881927,-1.046924661,60.916667,86.666667,1.30833282,-1.072533391,60.916667,86.666667,2.427748236,-0.951078399,60.916667,86.666667,1.91569637,-1.111112535,83.708333,48.625
2013-05-11,1.566878298,-1.319575979,60.875,88.25,1.16760516,-0.950354414,60.875,88.25,2.05189159,-1.203189817,60.875,88.25,1.806148207,-1.448988112,84.541667,47.708333
2013-05-12,2.627081139,-2.937371866,62.25,76.958333,2.222163526,-1.397718645,62.25,76.958333,2.772588722,-1.340797443,62.25,76.958333,2.502118779,-2.476714912,85.375,31.291667
2013-05-13,2.895409552,-1.689711591,55.125,87.75,2.800831935,-1.170463074,55.125,87.75,3.259697819,-0.979654937,55.125,87.75,2.920020452,-1.582442933,73.666667,45.875
2013-05-14,2.901879365,-1.733874009,55.625,88.541667,2.381958681,0.311485809,55.625,88.541667,2.815907597,-1.183535199,55.625,88.541667,2.721843523,-2.013351593,73.208333,57.083333
2013-05-15,2.427748236,-1.291091129,56.833333,88.666667,2.162823151,-0.391297105,56.833333,88.666667,2.542257946,-1.703217551,56.833333,88.666667,2.424064991,-1.702987142,72.083333,48.75
2013-05-16,1.871802177,-2.537818363,57.541667,88.666667,1.673976434,-1.072533391,57.541667,88.666667,2.371022255,-2.009587446,57.541667,88.666667,2.036881927,-3.172196044,70.75,40.416667
2013-05-17,1.952102119,-2.469746252,54.458333,92.958333,1.299282984,-1.072533391,54.458333,92.958333,2.460300839,-2.054627647,54.458333,92.958333,2.1690537,-3.441546462,71.416667,34.458333
2013-05-18,1.696449289,-2.354612218,54.208333,93.916667,1.287854288,-1.072533391,54.208333,93.916667,1.888386305,-1.997265464,54.208333,93.916667,1.643629277,-2.833675455,72.25,31.833333
2013-05-19,1.645155995,-1.794617479,52.75,94,1.861718058,-1.072533391,52.75,94,2.063693185,-1.437614263,52.75,94,1.348073148,-1.738638219,69.375,39
2013-05-20,2.327277706,-1.17299157,55.208333,88.625,2.701971155,0.041110649,55.208333,88.625,2.662587827,-1.435319671,55.208333,88.625,2.378774231,-1.329677075,69.833333,51.208333
2013-05-21,2.381958681,-2.221522957,56.833333,88.041667,2.644992065,-0.935271177,56.833333,88.041667,2.721843523,-1.803410249,56.833333,88.041667,2.397895273,-2.774325181,71.458333,44.666667
2013-05-22,2.445963676,-2.324135305,53.583333,92.041667,2.63905733,-1.072533391,53.583333,92.041667,2.621038824,-1.738638202,53.583333,92.041667,2.390290673,-3.189704941,71.958333,40.458333
2013-05-23,1.700409691,-1.977545305,53.916667,92.25,2.260025479,-1.072533391,53.916667,92.25,2.063693185,-1.517342882,53.916667,92.25,1.791759469,-2.951726222,69.208333,40.708333
2013-05-24,1.303406701,-1.983030676,56.166667,92.333333,1.986732144,-1.072533391,56.166667,92.333333,1.963609726,-1.633383467,56.166667,92.333333,1.572396641,-2.431785474,63.125,50.875
2013-05-25,1.78415487,-1.220390272,56.416667,91.791667,2.211017899,-1.072533391,56.416667,91.791667,2.255668173,-1.313314236,56.416667,91.791667,1.814232325,-1.616513504,68.25,46.208333
2013-05-26,1.925290862,-2.359042874,55.375,93.25,2.359280437,-0.551132566,55.375,93.25,2.36983732,-1.793607848,55.375,93.25,1.812378756,-3.315502405,72.583333,43.458333
2013-05-27,2.393934872,-1.990054966,55.083333,92.5,2.666624159,-0.929442786,55.083333,92.5,2.68755168,-1.361393078,55.083333,92.5,2.343407088,-2.002225772,76.208333,42.75
2013-05-28,2.727308018,-1.51882393,54.833333,92.75,2.772588722,-0.884541207,54.833333,92.75,2.803360381,-1.007998277,54.833333,92.75,2.580847944,-1.422775265,79.416667,43.416667
2013-05-29,2.583997552,-1.82617068,56.833333,87.416667,2.535678975,-1.072533391,56.833333,87.416667,2.508921526,-1.55862745,56.833333,87.416667,2.508921526,-2.152014182,79.083333,44.75
2013-05-30,1.914361791,-1.983030676,59.208333,89.166667,2.260025479,-1.072533391,59.208333,89.166667,2.238046572,-1.633383467,59.208333,89.166667,2.100947747,-2.312601661,71.666667,41.875
2013-05-31,1.246532419,-1.983030676,58.541667,91.041667,2.159484249,-1.072533391,58.541667,91.041667,1.84582669,-1.633383467,58.541667,91.041667,1.618487748,-2.312601661,75.333333,36.166667
2013-06-01,1.398128819,-2.056113434,57.041667,91.25,1.839226006,-1.728186818,57.041667,91.25,1.907930901,-1.943269851,57.041667,91.25,1.147402453,-3.067703678,77.458333,42.458333
2013-06-02,1.543686535,-2.329984292,55.333333,93.125,2.038856262,-1.072533391,55.333333,93.125,1.951844885,-1.668563449,55.333333,93.125,1.299282984,-3.050415624,79.25,43.916667
2013-06-03,1.397593916,-2.705870577,55.958333,93.25,2.100060829,-1.072533391,55.958333,93.25,1.798679912,-1.3987946,55.958333,93.25,1.154965225,-2.928700168,77.875,42.791667
2013-06-04,1.543686535,-1.900539318,55.833333,91.916667,2.164280422,-1.072533391,55.833333,91.916667,1.992430165,-1.180524422,55.833333,91.916667,1.479626301,-1.95892055,77.125,45.5
2013-06-05,1.679642171,-1.348249504,54.083333,93.291667,2.310883896,-1.072533391,54.083333,93.291667,2.224623552,-0.909098336,54.083333,93.291667,1.549333988,-1.430395316,73.791667,46.083333
2013-06-06,2.961830722,-1.479045133,55.5,90.333333,3.412247218,-1.072533391,55.5,90.333333,3.283414346,-0.094010085,55.5,90.333333,3.036554268,-1.840344135,66.958333,56.625
2013-06-07,2.813410717,-1.170643489,54.958333,91.916667,3.139110856,-1.072533391,54.958333,91.916667,3.419091872,-1.219902836,54.958333,91.916667,2.721843523,-1.502148864,69.541667,54.958333
2013-06-08,2.389958723,-2.864357907,56.75,89.333333,2.657519392,-1.072533391,56.75,89.333333,2.713830564,-1.851508544,56.75,89.333333,2.438717267,-3.25134907,69.416667,40.375
2013-06-09,2.206840036,-1.881078022,67.291667,40.416667,2.359280437,-1.6579345,63.541667,51.333333,2.335374916,-1.752099964,63.541667,51.333333,1.890850372,-2.508173631,67.291667,40.416667
